Cities,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Tuktoyaktuk,40,CA,1586369783,77,69.45,-133.04,1.4,8.05
Rikitea,51,PF,1586369730,81,-23.12,-134.97,76.89,11.77
Punta Arenas,6,CL,1586369774,55,-53.15,-70.92,66.2,12.75
Ushuaia,39,AR,1586369758,32,-54.8,-68.3,68.0,5.82
Oddur,37,SO,1586370027,43,4.12,43.89,84.83,13.11
Sinazongwe,11,ZM,1586370155,65,-17.26,27.46,74.79,5.55
Bredasdorp,99,ZA,1586369801,72,-34.53,20.04,60.8,13.87
Coahuayana Viejo,5,MX,1586369816,27,18.73,-103.68,87.8,5.23
Chiredzi,100,ZW,1586370155,61,-21.05,31.67,73.29,9.06
Ottumwa,1,US,1586370156,50,41.02,-92.41,78.8,6.93
Mataura,100,NZ,1586369780,90,-46.19,168.86,48.99,11.99
Port Elizabeth,97,ZA,1586369772,87,-33.92,25.57,60.8,5.82
Busselton,4,AU,1586369780,50,-33.65,115.33,61.0,8.32
Airai,96,TL,1586369797,70,-8.93,125.41,60.91,0.78
Haines Junction,100,CA,1586370052,86,60.75,-137.51,21.97,2.71
Tuatapere,100,NZ,1586369829,90,-46.13,167.68,48.99,11.99
Saskylakh,86,RU,1586369825,97,71.92,114.08,17.38,4.21
Cape Town,96,ZA,1586369999,72,-33.93,18.42,64.99,10.29
Šibenik,0,HR,1586369870,26,43.73,15.91,59.0,10.29
Ilulissat,20,GL,1586369835,49,69.22,-51.1,23.0,3.36
Klaksvík,21,FO,1586369796,65,62.23,-6.59,41.0,13.87
Samarai,26,PG,1586369871,82,-10.62,150.67,79.41,7.61
Kyren,5,RU,1586370159,54,51.68,102.14,35.47,5.32
Nabire,100,ID,1586370159,88,-3.37,135.48,76.77,0.6
Tamiahua,81,MX,1586370160,80,21.27,-97.45,82.49,7.38
Albany,90,US,1586369678,50,42.6,-73.97,57.0,6.93
Nanortalik,99,GL,1586369793,79,60.14,-45.24,35.28,15.28
Torbay,75,CA,1586369852,47,47.67,-52.73,37.0,13.87
Horta,40,PT,1586370047,77,38.53,-28.63,66.2,14.99
Arraial do Cabo,90,BR,1586369845,78,-22.97,-42.03,75.2,13.87
Province of Vibo Valentia,20,IT,1586370161,76,38.7,16.13,60.01,2.24
Porbandar,0,IN,1586370161,85,21.64,69.61,77.54,13.42
Makkah al Mukarramah,99,SA,1586370134,36,21.43,39.83,82.47,2.15
Akureyri,39,IS,1586370162,55,65.68,-18.09,33.8,2.24
Thompson,75,CA,1586369798,63,55.74,-97.86,30.2,10.29
Cherskiy,98,RU,1586369906,89,68.75,161.3,-2.06,15.05
Rawson,0,AR,1586369888,20,-43.3,-65.1,74.7,20.47
Kavieng,54,PG,1586369821,75,-2.57,150.8,82.99,5.68
Solano,20,US,1586370163,72,38.23,-121.95,64.0,6.93
Hualmay,26,PE,1586369848,61,-11.1,-77.61,79.54,11.97
East London,100,ZA,1586369650,63,-33.02,27.91,66.29,11.12
Banagher,37,IE,1586370164,72,53.19,-7.99,60.01,1.99
Vestmannaeyjar,0,IS,1586369747,64,63.44,-20.27,39.2,8.05
Paamiut,67,GL,1586369894,82,61.99,-49.67,34.57,3.62
Hobart,0,AU,1586369806,87,-42.88,147.33,43.0,9.17
Carnarvon,7,AU,1586369835,83,-24.87,113.63,75.2,6.93
Sitka,90,US,1586369863,93,57.05,-135.33,37.4,21.92
Bluff,100,NZ,1586369694,90,-46.6,168.33,48.99,11.99
Kapaa,75,US,1586369766,88,22.08,-159.32,73.4,5.82
Pevek,89,RU,1586369845,91,69.7,170.31,-9.4,3.67
Hofn,75,IS,1586369940,55,64.25,-15.21,37.4,11.41
Iquitos,75,PE,1586370166,100,-3.75,-73.25,42.8,3.36
Urusha,0,RU,1586370166,90,54.05,122.9,20.73,3.2
Tiksi,42,RU,1586369835,90,71.69,128.87,1.9,4.81
New Norfolk,0,AU,1586369775,87,-42.78,147.06,43.0,9.17
Palamós,20,ES,1586369897,58,41.85,3.13,60.01,8.05
Hithadhoo,79,MV,1586369785,67,-0.6,73.08,85.57,8.61
Atuona,0,PF,1586370107,77,-9.8,-139.03,82.62,15.39
Puerto Ayora,20,EC,1586369787,70,-0.74,-90.35,86.0,9.17
Aberdeen,90,GB,1586369897,87,57.14,-2.1,45.0,11.41
Saint-Augustin,100,CA,1586369809,94,51.23,-58.65,26.17,10.96
Dwārka,0,IN,1586370169,88,22.24,68.97,77.85,12.93
Qaanaaq,100,GL,1586369707,85,77.48,-69.36,16.74,8.79
Shchors,48,UA,1586370170,69,51.82,31.95,46.58,7.02
Vaini,90,TO,1586369687,100,-21.2,-175.2,78.8,46.08
Wanning,53,CN,1586369924,89,18.8,110.4,75.51,8.63
Kralendijk,100,BQ,1586370171,62,12.15,-68.27,87.8,19.46
Hilo,90,US,1586369682,78,19.73,-155.09,73.4,2.53
Khatanga,100,RU,1586369812,96,71.97,102.5,23.05,9.98
Cardston,75,CA,1586370172,32,49.2,-113.3,37.4,3.36
Yellowknife,5,CA,1586369714,57,62.46,-114.35,23.0,11.41
Port Blair,35,IN,1586369896,73,11.67,92.75,82.4,6.31
Xining,60,CN,1586369928,21,36.62,101.77,41.94,1.48
Saint George,1,US,1586369867,18,37.1,-113.58,68.0,4.7
Kon Tum,93,VN,1586370015,78,14.35,108.0,69.64,2.06
Sungai Penuh,100,ID,1586370173,71,-2.08,101.38,66.04,1.34
Bambous Virieux,40,MU,1586369940,78,-20.34,57.76,80.6,10.29
Rabo de Peixe,20,PT,1586370174,82,37.8,-25.58,64.4,14.99
Port Shepstone,47,ZA,1586369862,72,-30.74,30.45,65.75,6.24
Tasiilaq,20,GL,1586369774,74,65.61,-37.64,28.4,16.11
Pakxan,5,LA,1586370174,72,18.38,103.66,75.65,3.31
São Filipe,0,CV,1586369910,58,14.9,-24.5,79.0,15.39
Barrow,1,US,1586369730,83,71.29,-156.79,-11.2,5.82
Geraldton,0,AU,1586369864,93,-28.77,114.6,64.4,5.82
San Carlos del Zulia,97,VE,1586370175,55,9.0,-71.91,93.33,2.73
Dikson,47,RU,1586369791,96,73.51,80.55,9.61,14.07
Poum,21,NC,1586369778,77,-20.23,164.02,78.94,15.97
Zhaotong,100,CN,1586370176,45,27.32,103.72,47.14,1.9
Hong Kong,20,HK,1586369799,64,22.29,114.16,69.8,9.17
Dinguiraye,0,GN,1586370176,8,11.3,-10.72,101.86,3.67
Seoul,1,KR,1586369864,42,37.57,126.98,46.4,3.36
Kumul,0,CN,1586369918,19,42.8,93.45,63.59,8.97
Santa Marta,40,CO,1586370177,56,11.24,-74.2,99.0,2.24
Ketchikan,90,US,1586369995,90,55.34,-131.65,39.2,23.04
Kruisfontein,99,ZA,1586369819,69,-34.0,24.73,60.1,14.61
Faanui,70,PF,1586369841,75,-16.48,-151.75,82.49,14.34
Jamestown,20,US,1586369786,66,42.1,-79.24,63.0,12.75
Tezu,36,IN,1586370178,30,27.92,96.17,73.49,2.51
Mar del Plata,20,AR,1586369759,62,-38.0,-57.56,62.01,11.41
Brusyliv,0,UA,1586370127,30,50.28,29.53,57.2,6.71
Alofi,96,NU,1586369707,88,-19.06,-169.92,80.6,9.17
Clyde River,5,CA,1586369908,66,70.47,-68.59,14.0,4.7
Fortuna,20,US,1586369778,76,40.6,-124.16,64.0,6.98
Steinbach am Taunus,0,DE,1586370180,30,50.17,8.57,70.0,4.7
Kenai,1,US,1586369823,42,60.55,-151.26,30.0,9.17
Vaxjo,99,SE,1586369914,37,56.88,14.81,53.6,6.93
George Town,40,MY,1586369831,83,5.41,100.34,86.0,4.7
Mukhen,100,RU,1586370180,81,48.1,136.1,34.88,4.27
Mugan,68,CN,1586370181,20,35.94,101.38,41.34,5.06
Nieuw Amsterdam,75,SR,1586370181,70,5.88,-55.08,87.8,9.17
Tabou,30,CI,1586369829,75,4.42,-7.35,83.64,7.58
Ikom,52,NG,1586370182,65,5.97,8.71,85.46,4.09
Bethel,90,US,1586369790,76,41.37,-73.41,57.99,6.93
Mehamn,90,NO,1586370029,94,71.04,27.85,33.8,8.05
Norman Wells,20,CA,1586369486,52,65.28,-126.83,17.6,8.05
Palana,0,RU,1586370183,82,59.12,159.97,5.61,2.8
Portland,40,US,1586369959,62,45.52,-122.68,57.99,8.05
Constitución,3,CL,1586369841,48,-35.33,-72.42,65.97,5.75
Warrnambool,1,AU,1586369817,94,-38.38,142.48,50.0,10.0
Swan Hill,47,AU,1586370184,79,-35.34,143.55,57.74,9.06
Medicine Hat,20,CA,1586370150,38,50.05,-110.67,41.0,19.46
Iqaluit,5,CA,1586369933,66,63.75,-68.51,12.2,2.24
Mount Isa,96,AU,1586370019,29,-20.73,139.5,75.2,11.41
Son La,69,VN,1586370185,73,21.32,103.9,64.18,2.15
Nago,40,JP,1586370185,87,26.59,127.98,66.2,4.7
Binga,22,ZW,1586370185,61,-17.62,27.34,74.23,7.45
Provideniya,63,RU,1586369526,91,64.38,-173.3,3.18,4.9
Innisfail,23,AU,1586370087,85,-17.53,146.03,70.72,4.07
Esperance,37,AU,1586369826,68,-33.87,121.9,64.4,14.99
Nikolskoye,40,RU,1586369789,33,59.7,30.79,46.4,2.24
Quatre Cocos,40,MU,1586369887,78,-20.21,57.76,80.6,10.29
Ayagoz,100,KZ,1586370187,66,47.97,80.44,40.08,7.87
Domoni,34,KM,1586370188,71,-12.26,44.53,83.59,10.07
Sopela,20,ES,1586370055,87,43.38,-2.98,68.0,8.05
Guhāgar,0,IN,1586370188,77,17.48,73.19,78.01,7.83
Labuhan,100,ID,1586370106,86,-6.88,112.21,77.34,4.76
Yacuiba,75,BO,1586370189,73,-22.04,-63.68,73.4,4.7
Hermanus,95,ZA,1586369772,76,-34.42,19.23,66.0,8.01
Vao,10,NC,1586369777,74,-22.67,167.48,74.53,14.2
Cabo San Lucas,90,MX,1586369642,44,22.89,-109.91,81.0,3.36
Avarua,40,CK,1586369791,88,-21.21,-159.78,80.6,18.34
Jalu,50,LY,1586369627,36,29.03,21.55,67.05,3.96
Port Alfred,97,ZA,1586369803,62,-33.59,26.89,65.68,13.27
Butaritari,100,KI,1586369707,79,3.07,172.79,83.5,14.97
Borogontsy,95,RU,1586370129,97,62.67,131.17,27.64,4.36
Port Macquarie,90,AU,1586369857,100,-31.43,152.92,63.0,4.7
Nichinan,15,JP,1586370191,54,31.6,131.37,55.45,4.43
Saint Paul Harbor,1,US,1586369790,59,57.79,-152.41,33.8,20.8
Sioux Lookout,90,CA,1586369946,70,50.1,-91.92,32.0,3.36
San Andrés,40,CO,1586370012,62,12.58,-81.7,89.6,12.75
Lodja,100,CD,1586370192,73,-3.48,23.43,71.69,2.15
Lahaina,20,US,1586370089,69,20.88,-156.68,77.0,5.82
Pacific Grove,90,US,1586370193,71,36.62,-121.92,59.0,9.17
Cidreira,32,BR,1586369782,62,-30.18,-50.21,66.6,17.72
Humberto de Campos,100,BR,1586370193,81,-2.6,-43.46,85.26,4.72
Talnakh,75,RU,1586369824,86,69.49,88.4,33.8,24.61
Souillac,40,MU,1586369884,78,-20.52,57.52,80.6,10.29
Calama,0,CL,1586370195,28,-22.47,-68.93,73.4,25.28
Tocache,100,PE,1586370195,72,-8.18,-76.51,74.7,0.94
Springbok,35,ZA,1586370195,21,-29.66,17.89,62.17,6.6
La Bañeza,97,ES,1586370196,59,42.3,-5.9,70.0,4.7
Vila Velha,90,BR,1586369917,88,-20.33,-40.29,75.2,14.99
Castleblayney,40,IE,1586370196,71,54.12,-6.73,57.2,6.93
Kaeo,43,NZ,1586369803,89,-35.1,173.78,57.0,9.17
Awjilah,66,LY,1586370034,36,29.11,21.29,67.69,4.81
San Juan,0,AR,1586370125,24,-31.54,-68.54,73.94,4.34
